value,label
BIDU,BIDU - Baidu Inc
BIIB,BIIB - Biogen Inc Cmn
BIOC,BIOC - Biocept Inc
BIOL,BIOL - Biolase Inc Cmn
BIOP,BIOP - Bioptix Inc
BIOS,BIOS - Bioscrip Inc
BIS,BIS - Proshrs Ulsht Nq Bio
BIVV,BIVV - Bioverativ Inc
BJRI,BJRI - Bj's Restaurants Inc
BKCC,BKCC - Blackrock Cptl Invt
BKEP,BKEP - Blueknight Energy LP
BKEPP,BKEPP - Blueknight Srs A Uts
BKMU,BKMU - Bank Mutual Corp
BKSC,BKSC - Bank of So Car Cp
BL,BL - Blackline Inc
BLBD,BLBD - Blue Bird Corp
BLCM,BLCM - Bellicum Pharma Comm
BLDP,BLDP - Ballard Power Sys
BLDR,BLDR - Builders Firstsource
BLFS,BLFS - Biolife Solutions Cmn
BLIN,BLIN - Bridgeline Digital
BLKB,BLKB - Blackbaud Inc
BLMN,BLMN - Bloomin' Brands Inc
BLMT,BLMT - Bsb Bancorp Inc
BLPH,BLPH - Bellerophon Ther Com
BLRX,BLRX - Biolinerx Ltd
BLUE,BLUE - Bluebird Bio Cmn
BLVD,BLVD - Boulevard AC Cm ST A
BLVDU,BLVDU - Boulevard Acqu Unit
BLVDW,BLVDW - Boulevard Acquisi Wt
BMCH,BMCH - Bmc Stock Holdings
BMLA,BMLA - Recon Bullmark Latam
BMLP,BMLP - Bank of Montreal BMO Elkhorn DWA MLP Select Inde
BMRA,BMRA - Biomerica Inc
BMRC,BMRC - Bank of Marin Bancrp
BMRN,BMRN - Biomarin Pharmaceut
BMTC,BMTC - Bryn Mawr Bank Corp
BNCL,BNCL - Beneficial Bancorp
BNCN,BNCN - BNC Bancorp Inc
BNDX,BNDX - Vanguard Tl Intl Bnd
BNFT,BNFT - Benefitfocus Cmn
BNSO,BNSO - Bonso Elec Intl In
BNTC,BNTC - Benitec Biopharm Ads
BNTCW,BNTCW - Benitec Biopharm Wrt
BOBE,BOBE - Bob Evans Farms
BOCH,BOCH - Bank of Commerce Hld
BOFI,BOFI - Bofi Holding Inc
BOFIL,BOFIL - Bofi Hld Sub Not
BOJA,BOJA - Bojangles Inc CS
BOKF,BOKF - Bok Financial Corp
BOKFL,BOKFL - Bok Financial Corporation
BOLD,BOLD - Audentes Therapeutics Inc Cmn
BONT,BONT - Bon Ton Stores The
BOOM,BOOM - Dynamic Materials
BOSC,BOSC - Bos Better Online
BOTJ,BOTJ - Bank of The Jame Fnl
BOTZ,BOTZ - Global X Robotics & Artificial Intel Thmtc ETF
BPFH,BPFH - Boston Pvt Finl Hldg
BPFHP,BPFHP - Boston Private Dep S
BPFHW,BPFHW - Boston Private Wts
BPMC,BPMC - Blueprint Medi Cm ST
BPOP,BPOP - Popular Inc
BPOPM,BPOPM - Popular Inc Trust II
BPOPN,BPOPN - Popular Inc Trust I
BPTH,BPTH - Bio-Path Holdings
BRCD,BRCD - Brocade Comm Sys
BREW,BREW - Craft Brew Alliance
BRID,BRID - Bridgford Foods Cp
BRKL,BRKL - Brookline Bancorp
BRKR,BRKR - Bruker Corporation
BRKS,BRKS - Brooks Automation
BSET,BSET - Bassett Furniture
BSF,BSF - Bear State Fin Inc
BSFT,BSFT - Broadsoft Inc
BSPM,BSPM - Biostar Pharmaceutic
BSQR,BSQR - Bsquare Corp
BSRR,BSRR - Sierra Bancorp
BSTC,BSTC - Biospecifics Tech Cp
BSTG,BSTG - Biostage Cmn Stk
BTEC,BTEC - Principal Healthcare Innovators Index
BUFF,BUFF - Blue Buffalo Pet Cmn
BUR,BUR - Burcon Nutrascience
BUSE,BUSE - First Busey Corp
BV,BV - Bazaarvoice Inc
BVSN,BVSN - Broadvision Inc
BVXV,BVXV - Biondvax Pharma Ads
BVXVW,BVXVW - Biondvax Pharma Wt
BWEN,BWEN - Broadwind Energy Inc
