value,label
GTYHW,GTYHW - Gty Technology Holdings Inc. Warrants
GUID,GUID - Guidance Software
GULF,GULF - Wisdomtree
GURE,GURE - Gulf Resources Inc
GWGH,GWGH - Gwg Holdings Com Stk
GWPH,GWPH - Gw Pharma ADR
GWRS,GWRS - Global Water Reso Cmn
GYRO,GYRO - Gyrodyne Llc Cmn
HA,HA - Hawaiian Hldgs Inc
HABT,HABT - Habit Rest Cmn A
HAFC,HAFC - Hanmi Financial Cp
HAIN,HAIN - Hain Celestial Grp
HALL,HALL - Hallmark Fin Svc
HALO,HALO - Halozyme Therapeutic
HAS,HAS - Hasbro Inc
HAWK,HAWK - Blackhawk Network Ho
HAYN,HAYN - Haynes Intl Inc
HBAN,HBAN - Huntington Bcshs
HBANN,HBANN - Huntington Bancshares Incorporated Depositary Sh
HBANO,HBANO - Huntington Banc. Dep
HBANP,HBANP - Huntington BNC Pfd A
HBCP,HBCP - Home Bancorp Inc
HBHC,HBHC - Hancock Holding Co
HBHCL,HBHCL - Hancock Hld 5.95 Nt
HBIO,HBIO - Harvard Bioscience
HBK,HBK - Hamilton Bancorp
HBMD,HBMD - Howard Bancorp MD
HBNC,HBNC - Horizon Bancorp
HBP,HBP - Huttig Bldg Products
HCAP,HCAP - Harvest Capital Cred
HCAPL,HCAPL - Hrvst Cap 7% Nt 2020
HCCI,HCCI - Heritage-Crystal
HCKT,HCKT - Hackett Grp Inc
HCM,HCM - Hutchison China Ads
HCOM,HCOM - Hawaiian Telcom Hold
HCSG,HCSG - Healthcare Svcs Gp
HDNG,HDNG - Hardinge Inc
HDP,HDP - Hortonworks Cmn
HDS,HDS - HD Supply Hlds Cmm
HDSN,HDSN - Hudson Tech Inc
HEAR,HEAR - Turtle Beach Corp Cmn
HEBT,HEBT - Hebron Technology Co. Ltd.
HEES,HEES - H&E Equip Services
HELE,HELE - Helen of Troy Ltd
HEOP,HEOP - Heritage Oaks Bancp
HFBC,HFBC - Hopfed Bancorp Inc
HFBL,HFBL - Home Federal
HFWA,HFWA - Heritage Financial
HGSH,HGSH - China Hgs Real Est
HIBB,HIBB - Hibbett Sports Inc
HIFS,HIFS - Hingham Inst For Svg
HIHO,HIHO - Highway Hldgs Ltd
HIIQ,HIIQ - Health Insurance Inn
HIMX,HIMX - Himax Technologies
HLG,HLG - Hailiang Edu Grp Ads
HLIT,HLIT - Harmonic Inc
HLNE,HLNE - Hamilton Lane Incorporated Class A
HMHC,HMHC - Houghton Mifflin Har
HMNF,HMNF - Hmn Financial Inc
HMNY,HMNY - Helios and Matsn Ana
HMST,HMST - Homestreet Inc
HMSY,HMSY - Hms Hldgs Cp
HMTA,HMTA - Hometown Bankshares
HMTV,HMTV - Hemisphere Media A
HNH,HNH - Handy & Harman Ltd
HNNA,HNNA - Hennessy Advisors Cmn
HNRG,HNRG - Hallador Energy Co
HOFT,HOFT - Hooker Furniture
HOLI,HOLI - Hollysys Automation
HOLX,HOLX - Hologic Inc
HOMB,HOMB - Home Bancshares Inc
HONE,HONE - Harborone Bancorp Inc
HOPE,HOPE - Hope Bancorp Inc
HOTR,HOTR - Chanticleer Hldgs
HOTRW,HOTRW - Chanticleer Warrants
HOVNP,HOVNP - Hovnanian Entr Dep A
HPJ,HPJ - Highpower Intl Inc
HPT,HPT - Hospitality Properites Trust
HQCL,HQCL - Hanwha Q Cells Ads
HQY,HQY - Healthequity Cmn Stk
HRMN,HRMN - Harmony Merger Cmn
HRMNU,HRMNU - Harmony Merger Unit
HRMNW,HRMNW - Harmony Merger Wrnt
HRTX,HRTX - Heron Therapeutics
HRZN,HRZN - Horizon Technology F
HSGX,HSGX - Histogenics Cp Cmn
HSIC,HSIC - Henry Schein Inc
HSII,HSII - Heidrick & Struggl
HSKA,HSKA - Heska Corp
HSNI,HSNI - HSN Inc Cmn Stk
HSON,HSON - Hudson Global Cmn
HSTM,HSTM - Healthstream Inc
HTBI,HTBI - Hometrust Bancshares
HTBK,HTBK - Heritage Commerce
HTBX,HTBX - Heat Biologics Inc
HTGM,HTGM - Htg Molecular Dia Cmn
HTHT,HTHT - China Lodg Grp Ads
HTLD,HTLD - Heartland Express
HTLF,HTLF - Heartland Finl USA
HUBG,HUBG - Hub Group Inc A
HUNT,HUNT - Hunter Maritime Acquisition Corp. Class A
HUNTU,HUNTU - Hunter Maritime Acquisition Corp
HUNTW,HUNTW - Hunter Maritime Acquisition Corp. Warrant
HURC,HURC - Hurco Cos Inc
HURN,HURN - Huron Consulting
HVBC,HVBC - Hv Bancorp Inc
HWBK,HWBK - Hawthorn Bancshares
HWCC,HWCC - Houston Wire Cable
HWKN,HWKN - Hawkins Inc
HYGS,HYGS - Hydrogenics Corp
HYLS,HYLS - First Trust Tactical
HYND,HYND - Wt Bofa ML HY Ngdr F
HYXE,HYXE - Ishares Iboxx $ High Yield Ex O
HYZD,HYZD - Wt Bofa ML HY Zero D
HZNP,HZNP - Horizon Pharma Ord
IAC,IAC - Iac/Interactive
IART,IART - Integra Lifesciences
IBB,IBB - Ishare Nasdaq Biotech ETF
IBCP,IBCP - Independent Bk Cp
IBKC,IBKC - Iberiabank Corp
IBKCO,IBKCO - Iberiabank Ds Rep C
IBKCP,IBKCP - Iberiabank Dp Sh B
IBKR,IBKR - Interactive Brokers
IBOC,IBOC - Intl Bancshares
IBTX,IBTX - Independent Bank Grp
IBUY,IBUY - Amplify Onln Rtl ETF
ICAD,ICAD - Icad Inc Cmn Stk
ICBK,ICBK - County Bancorp Cmn
ICCC,ICCC - Immucell Cp
ICCH,ICCH - Icc Holdings Inc.
ICFI,ICFI - Icf International
ICHR,ICHR - Ichor
ICLN,ICLN - Ishres Gbl Cln Ergy
ICLR,ICLR - Icon Plc
ICON,ICON - Iconix Brand Group
ICPT,ICPT - Intercept Pharmaceut
ICUI,ICUI - I C U Medical Inc
IDCC,IDCC - Interdigital Inc
IDLB,IDLB - PS FTSE International Low Beta Equal Weight
IDRA,IDRA - Idera Pharmaceutical
IDSA,IDSA - Industrial Svcs Am
IDSY,IDSY - Id Systems Inc
IDTI,IDTI - Integrated Devices
IDXG,IDXG - Interpace Diag Grp
IDXX,IDXX - Idexx Laboratories
IEP,IEP - Icahn Enterprises
IESC,IESC - Ies Holdings Cmn
IEUS,IEUS - Ishares MSCI Europe
IFEU,IFEU - Ishares Europe Dvlpd
IFGL,IFGL - Ishares Intl Devlp
IFMK,IFMK - Ifresh Inc
IFON,IFON - Infosonic Corp
IFV,IFV - First Trt Dorsey Wri
IGF,IGF - Ishares Global Infra
IGLD,IGLD - Internet Gold-Golden
IGOV,IGOV - Ishares Intl Trsy Bd
III,III - Information Svcs Grp
IIIN,IIIN - Insteel Industries
IIJI,IIJI - Internet Init Jap
IIN,IIN - Intricon Corp
IIVI,IIVI - I I V I Inc
IKGH,IKGH - Iao Kun Grp Holdings
IKNX,IKNX - Ikonics Corp
ILG,ILG - Ilg Inc
ILMN,ILMN - Illumina Inc
IMDZ,IMDZ - Immune Design CS
IMED,IMED - Purefunds Etfx Healthtech ETF
IMGN,IMGN - Immunogen Inc
IMI,IMI - Intermolecular Inc
IMKTA,IMKTA - Ingles Markets Inc
IMMR,IMMR - Immersion Corp
IMMU,IMMU - Immunomedics Inc
IMMY,IMMY - Imprimis Phar Cmn
IMNP,IMNP - Immune Pharmaceuticals Inc.
IMOS,IMOS - Chipmos Tech New
IMPV,IMPV - Imperva Inc
INAP,INAP - Internap Corp Cmn
INBK,INBK - First Internet Bcp
INBKL,INBKL - First Internet Bancorp
INCR,INCR - Inc Research A Cmn
INCY,INCY - Incyte Corporation
INDB,INDB - Independent Bk Corp
INDY,INDY - Ishares India 50 ETF
INFI,INFI - Infinity Pharmaceuti
INFN,INFN - Infinera Corporation
INFO,INFO - IHS Markit Ltd
INFR,INFR - Legg Mason ETF Equity Trust Legg Mason Global In
INGN,INGN - Inogen Inc
INNL,INNL - Innocoll Hld Ord Shr
INO,INO - Inovio Pharma Cmn
INOD,INOD - Innodata Inc
INOV,INOV - Inovalon Hldgs Cm A
INPX,INPX - Inpixon
INSE,INSE - Inspired Entertainment Inc.
INSEW,INSEW - Inspired Entertainment Inc. Warrants
INSG,INSG - Novatel Wireless Cmn
INSM,INSM - Insmed Inc
INSY,INSY - Insys Theraptcs Cmn
INTC,INTC - Intel Corp
INTG,INTG - Intergroup Cp The
INTL,INTL - Intl Fcstone Inc Cmn
INTU,INTU - Intuit Inc
INTX,INTX - Intersections Inc
INVA,INVA - Innoviva Inc
INVE,INVE - Identiv Inc
INVT,INVT - Inventergy Glbl Inc
INWK,INWK - Innerworkings Inc
IONS,IONS - Ionis Pharmaceutical
IOSP,IOSP - Innospec Inc
IOTS,IOTS - Adesto Tech Cmn
IPAR,IPAR - Inter Parfums Inc
IPAS,IPAS - Ipass Inc
IPCC,IPCC - Infinity Property
IPCI,IPCI - Intellipharmaceutics
IPDN,IPDN - Professional Diversi
IPGP,IPGP - Ipg Photonics Corp
IPHS,IPHS - Innophos Hldngs Inc
IPKW,IPKW - PS International Buyback Achievers
IPWR,IPWR - Ideal Power Inc
IPXL,IPXL - Impax Labs Inc
IRBT,IRBT - Irobot Corporation
IRCP,IRCP - Irsa Propiedades Ads
IRDM,IRDM - Iridium Comm Inc
IRDMB,IRDMB - Iridium 6.75 Sr B Pf
IRIX,IRIX - Iridex Cp
IRMD,IRMD - Iradimed Cp Cm Stk
IROQ,IROQ - If Bancorp Inc
IRTC,IRTC - Irhythm Technologies Inc
IRWD,IRWD - Ironwood Pharmaceuti
ISBC,ISBC - Investors Bancorp
ISCA,ISCA - Intl Speedway Cl A
ISHG,ISHG - Ishares 1-3 Yr Intl
ISIG,ISIG - Insignia Systems
ISLE,ISLE - Isle of Capri Cas
ISM,ISM - SLM Corp Med Nt A
ISNS,ISNS - Image Sensing Syst
ISRG,ISRG - Intuitive Surg Inc
ISRL,ISRL - Isramco Inc
ISSC,ISSC - Innovative Sol&Sup
ISTR,ISTR - Investar Holding Cmn
ITCI,ITCI - Intra-Cellular Ther
ITEK,ITEK - Inotek Pharma Cmn
ITEQ,ITEQ - Blstar Ta-Bgtch Isrl
ITI,ITI - Iteris Inc Cmn Stk
ITIC,ITIC - Investors Title Co
ITRI,ITRI - Itron Inc
ITRN,ITRN - Ituran Location
ITUS,ITUS - Itus Corp Cmn
IVAC,IVAC - Intevac Inc
IVTY,IVTY - Invuity Inc Cmn Stk
IXUS,IXUS - Ishs Core ACWI IMI
IXYS,IXYS - Ixys Corporation
IZEA,IZEA - Izea Inc
JACK,JACK - Jack In The Box Inc
JAGX,JAGX - Jaguar Animal Cmn
JAKK,JAKK - Jakks Pacific Inc
JASN,JASN - Jason Indst Cmn
JASNW,JASNW - Jason Industries Wt
JASO,JASO - JA Solar Holdings
JAZZ,JAZZ - Jazz Pharma Plc
JBHT,JBHT - J B Hunt Transport
JBLU,JBLU - Jetblue Airways Cp
JBSS,JBSS - John B Sanfilippo
JCOM,JCOM - J2 Global Inc Cmn
JCS,JCS - Commun Systems Inc
JCTCF,JCTCF - Jewett-Cameron Trd
JD,JD - Jd.Com Inc Ads
JIVE,JIVE - Jive Software Inc
JJSF,JJSF - J J Snack Foods
JKHY,JKHY - Jack Henry & Assoc
JKI,JKI - Ishares Mrgng Mid Va
JMBA,JMBA - Jamba Inc Cmn Stk
JMU,JMU - Wowo Ltd Ads
JNCE,JNCE - Jounce Therapeutics Inc
JNP,JNP - Juniper Pharm Inc
JOBS,JOBS - 51Job Inc
JOUT,JOUT - Johnson Outdoors I
JRJC,JRJC - China Finance Online
JRVR,JRVR - James River Gp HD Cmn
JSM,JSM - SLM Cp 6% Sr Nt
JSMD,JSMD - Jns Sml Mid Cap ETF
JSML,JSML - Janus Sm Cap Gr ETF
JSYN,JSYN - Jensyn Acq Cp CS
JSYNR,JSYNR - Jensyn Acq Cp Rt
JSYNU,JSYNU - Jensyn Acq Cp Ut
JSYNW,JSYNW - Jensyn Acq Cp Wt
JTPY,JTPY - Jetpay Corporation
JUNO,JUNO - Juno Therapeutics Cmn
JVA,JVA - Coffee Holding Co.
JXSB,JXSB - Jacksonville Bncp
JYNT,JYNT - The Joint Corp Cmn
KAACU,KAACU - Kayne Anderson Acquisition Corp. Unit
KALU,KALU - Kaiser Aluminum
KALV,KALV - Kalvista Pharmaceuticals Inc
KANG,KANG - Ikang Healthcare ADR
KBAL,KBAL - Kimball Intl Cl B
KBSF,KBSF - Kbs Fashion Gp Ltd
KBWB,KBWB - KBW Bank Powershares
KBWD,KBWD - KBW High Div Yield Financial Powershares
KBWP,KBWP - KBW Prop & Casuality Insur Powershares
KBWR,KBWR - KBW Regional Banking Powershares
KBWY,KBWY - KBW Prem Yield Equity REIT Powershares
KCAP,KCAP - Kcap Financial Cmn
KE,KE - Kimball Electrnc Cmn
KELYA,KELYA - Kelly Svcs Cl A
KELYB,KELYB - Kelly Services Cl
KEQU,KEQU - Kewaunee Scientifi
KERX,KERX - Keryx Biopharm Inc
KEYW,KEYW - Keyw Holding Corp
KFFB,KFFB - Kentucky First Fed
KFRC,KFRC - Kforce Inc
KGJI,KGJI - Kingold Jewelry Inc
KHC,KHC - Kraft Heinz Co Cmn
KIN,KIN - Kindred Biosciences
KINS,KINS - Kingstone Cos Inc
KIRK,KIRK - Kirkland's Inc
KITE,KITE - Kite Pharma Inc Cmn
KLAC,KLAC - K L A-Tencor Corp
KLIC,KLIC - Kulicke and Soffa
KLRE,KLRE - Klr Energy Acq Cm A
KLREU,KLREU - Klr Energy Acq Ut
KLREW,KLREW - Klr Energy Acq Wt
KLXI,KLXI - Klx Inc
KMDA,KMDA - Kamada Ltd
KMPH,KMPH - Kempharm Inc Cmn
KNDI,KNDI - Kandi Techs Grp Cmn
KNSL,KNSL - Kinsale Capital Group Inc Cmn
KONA,KONA - Kona Grill Inc
KONE,KONE - Kingtone Wirelessinf
KOOL,KOOL - Cesca Therapeutics I
KOPN,KOPN - Kopin Cp
KOSS,KOSS - Koss Cp
KPTI,KPTI - Karyopharm Therapeut
KRMA,KRMA - Global X Conscious Companies ETF
KRNT,KRNT - Kornit Digital Ord
KRNY,KRNY - Kearny Financial Cmn
KTCC,KTCC - Key Tronic Cp
KTEC,KTEC - Key Technology Inc
KTOS,KTOS - Kratos Defns
KTOV,KTOV - Kitov Pharamceut Ads
KTOVW,KTOVW - Kitov Pharamceuti Wt
KTWO,KTWO - K2M Group Hldngs Cmn
KURA,KURA - Kura Oncology Cmn
KVHI,KVHI - K V H Inds Inc
KWEB,KWEB - Kraneshs Csi Chn ETF
KZ,KZ - Kongzhong Corp
LABL,LABL - Multi Color Cp
LAKE,LAKE - Lakeland Inds Inc
LALT,LALT - PS Multi-Strategy Alternative
LAMR,LAMR - Lamar Advertis A
LANC,LANC - Lancaster Colony Cor
LAND,LAND - Gladstone Land Corp
LANDP,LANDP - Gladstone Land Corp
LARK,LARK - Landmark Bancorp Inc
LAUR,LAUR - Laureate Education Inc
LAWS,LAWS - Lawson Products In
LAYN,LAYN - Layne Christensen
LBAI,LBAI - Lakeland Bancorp Inc
LBIO,LBIO - Lion Biotechnologies
LBIX,LBIX - Leading Brands
LBRDA,LBRDA - Liberty Broadbd A Cmn
LBRDK,LBRDK - Liberty Broadbd C Cmn
LBTYA,LBTYA - Liberty Global Ord A
LBTYB,LBTYB - Liberty Global Ord B
LBTYK,LBTYK - Liberty Global Ord C
LCA,LCA - Landcadia Holdings Inc
LCAHU,LCAHU - Landcadia Holding Un
LCAHW,LCAHW - Landcadia Holdings Inc. Warrant
LCNB,LCNB - Lcnb Corporation
LCUT,LCUT - Lifetime Brands Inc
LDRI,LDRI - PS Ladderrite 0-5 Year Corporate Bond
LE,LE - Lands' End Inc Cmn
LECO,LECO - Lincoln Elec Hldg
LEDS,LEDS - Semileds Corporation
LENS,LENS - Presbia Plc Ord Shs
LEXEA,LEXEA - Liberty Expedia Holdings Inc
LFUS,LFUS - Littelfuse Inc
LFVN,LFVN - Lifevantage Cp Cmn
LGCY,LGCY - Legacy Reserves LP
LGCYO,LGCYO - Legacy Resrvs Sr B
LGCYP,LGCYP - Legacy Resrvs Sr A
LGIH,LGIH - LGI Homes Inc
LGND,LGND - Ligand Pharm Cmn
LHCG,LHCG - LHC Group Inc
LIFE,LIFE - Atyr Pharma Inc Cmn
LILA,LILA - Liberty Lilac Cl A
LILAK,LILAK - Liberty Lilac Cl C
LINC,LINC - Lincoln Educational
LIND,LIND - Lindblad Expd Hld Cmn
LINDW,LINDW - Lindblad Expd Wt
LINK,LINK - Interlink Elctrnc Cmn
LION,LION - Fidelity Southern Cp
LITE,LITE - Lumentum Hld Cmn
LIVE,LIVE - Live Ventures Cmn
LIVN,LIVN - Livanova Plc Or Sh
LJPC,LJPC - La Jolla Pharma
LKFN,LKFN - Lakeland Finl Corp
LKOR,LKOR - Flxshrs Crsc Lg Corp
LKQ,LKQ - LKQ Corp
LLEX,LLEX - Lilis Energy Inc
LLIT,LLIT - Lianluo Smart Ltd
LLNW,LLNW - Limelight Networks
LMAT,LMAT - Lemaitre Vascular
LMB,LMB - Limbach Holdings Inc
LMBS,LMBS - First TR Low Opp ETF
LMFA,LMFA - Lm Funding Cmn
LMFAW,LMFAW - Lm Funding Wt
LMIA,LMIA - LMI Aerospace Inc
LMNR,LMNR - Limoneira Co
LMNX,LMNX - Luminex Corporation
LMOS,LMOS - Lumos Networks Corp
LMRK,LMRK - Landmark Cmn Units
LMRKO,LMRKO - Landmark Infrastructure Partners LP
LMRKP,LMRKP - Landmark Inf Prf
LNCE,LNCE - Snyders-Lance Inc
LNDC,LNDC - Landec Cp
LNGR,LNGR - Glbl X Lngvty Th Ett
LNTH,LNTH - Lantheus Holdings Cmn
LOAN,LOAN - Manhattan Bridge
LOB,LOB - Live Oak Bancsh Cmn
LOCO,LOCO - El Pollo Loco Cmn
LOGI,LOGI - Logitech Int Sa
LOGM,LOGM - Logmein Inc
LONE,LONE - Lonestar Resources US Inc
LOPE,LOPE - Grand Canyon Educati
LORL,LORL - Loral Space Comm
LOXO,LOXO - Loxo Oncology CS
LPCN,LPCN - Lipocine Inc Cmn
LPLA,LPLA - Lpl Financial Hld Cmn
LPNT,LPNT - Lifepoint Health Cmn
LPSN,LPSN - Liveperson Inc
LPTH,LPTH - Lightpath Tech Inc
LPTX,LPTX - Leap Therapeutics Inc
LQDT,LQDT - Liquidity Services
LRAD,LRAD - Lrad Corporation
LRCX,LRCX - Lam Research Corp
LSBK,LSBK - Lake Shore Bancorp
LSCC,LSCC - Lattice Semicond
LSTR,LSTR - Landstar System
LSXMA,LSXMA - Liberty Srs XM CS A
LSXMB,LSXMB - Liberty Srs XM CS B
LSXMK,LSXMK - Liberty Srs XM CS C
LTBR,LTBR - Lightbridge Corp
LTEA,LTEA - Long Island Iced Tea Corp
LTRPA,LTRPA - Liberty Tripadv A Cmn
LTRPB,LTRPB - Liberty Tripadv B Cmn
LTRX,LTRX - Lantronix Inc
LTXB,LTXB - Legacytexas Fnl Cmn
LULU,LULU - Lululemon Athletica
LUNA,LUNA - Luna Innovations Inc
LVHD,LVHD - Legg Mason Lv HD ETF
LVNTA,LVNTA - Liberty Vntrs Srs A
LWAY,LWAY - Lifeway Foods Inc
LXRX,LXRX - Lexicon Pharmaceutcl
LYTS,LYTS - L S I Industries I
MACK,MACK - Merrimack Pharmaceut
MACQ,MACQ - M I Acquisitions Inc
MACQU,MACQU - M I Acquisitions Inc. Un
MACQW,MACQW - M I Acquisitions Inc. Warrant
MAGS,MAGS - Magal Security Syst
MAMS,MAMS - Mam Software Gp Cmn
MANH,MANH - Manhattan Assoc
MANT,MANT - Mantech Intl Cp A
MAR,MAR - Marriot Int Class A
MARA,MARA - Marathon Patent Grou
MARK,MARK - Remark Holdings Inc.
MARPS,MARPS - Marine Petroleum U
MASI,MASI - Masimo Corporation
MAT,MAT - Mattel Inc
MATR,MATR - Mattersight Corp
MATW,MATW - Matthews Intl Corp
MAUI,MAUI - Advisrshs Mkt Adptve
MAYS,MAYS - J W Mays Inc
MB,MB - Mindbody Cls A Cmn
MBCN,MBCN - Middlefield Banc Cmn
MBFI,MBFI - MB Financial Inc
MBFIP,MBFIP - MB Financial Pd Sr A
MBII,MBII - Marrone Bio Innov
MBOT,MBOT - Microbot Medical Inc
MBRG,MBRG - Middleburg Finl Corp
MBRX,MBRX - Moleculin Biotech CS
MBSD,MBSD - Flexshares Dspln MBS
MBTF,MBTF - Mbt Financial Corp
MBUU,MBUU - Malibu Boats Cmn A
MBVT,MBVT - Merchants Bancshares
MBVX,MBVX - Mabvax Therapeutics Holdings Inc
MBWM,MBWM - Mercantile Bank Corp
MCBC,MCBC - Macatawa Bank Corp
MCEF,MCEF - First Trust Municipal CEF Income Opportunity ETF
MCEP,MCEP - Mid-Con Energy Partn
MCFT,MCFT - Mcbc Holdings Cmn
MCHI,MCHI - Ishares MSCI China ETF
MCHP,MCHP - Microchip Technology
MCHX,MCHX - Marchex Inc
MCRB,MCRB - Seres Theraptc Cmn
MCRI,MCRI - Monarch Casino
MDCA,MDCA - Mdc Partners Cl A
MDCO,MDCO - Medicines Co
MDGL,MDGL - Madrigal Pharmaceuticals Inc
MDGS,MDGS - Medigus Ltd Ads
MDIV,MDIV - First Trust Vi Mlti
MDLZ,MDLZ - Mondelez Intl Cmn A
MDRX,MDRX - Allscripts Hlthcare
MDSO,MDSO - Medidata Solutions
MDSY,MDSY - Modsys Int'l Ltd
MDVX,MDVX - Medovex Corp. Cmn
MDVXW,MDVXW - Medovex Cp Cl A Wt
MDWD,MDWD - Mediwound Ltd Ord Sh
MDXG,MDXG - Mimedx Group Inc
MEDP,MEDP - Medpace Holdings Inc.
MEET,MEET - The Meet Group
MEIP,MEIP - Mei Pharma Inc Cmn
MELI,MELI - Mercadolibre Inc
MELR,MELR - Melrose Bancorp Cmn
MEMP,MEMP - Memorial Production
MENT,MENT - Mentor Graphics
MEOH,MEOH - Methanex Cp
MERC,MERC - Mercer Intl Inc
MESO,MESO - Mesoblast Ltd Ads
METC,METC - Ramaco Resources Inc
MFIN,MFIN - Medallion Fin Cp
MFINL,MFINL - Medallion Fin Notes
MFNC,MFNC - Mackinac Financial
MFRI,MFRI - M F R I Inc
MFSF,MFSF - Mutualfirst Finl Inc
MGCD,MGCD - Mgc Diagnostics Corp
MGEE,MGEE - Mge Energy Inc
MGEN,MGEN - Miragen Therapeutics Inc
MGI,MGI - Moneygram Intl Cmn
MGIC,MGIC - Magic Software Entpr
MGLN,MGLN - Magellan Health Cmn
MGNX,MGNX - Macrogenics Cmn
MGPI,MGPI - MGP Ingredients Inc
MGRC,MGRC - Mcgrath Rentcorp
MGYR,MGYR - Magyar Bancorp Inc
MHLD,MHLD - Maiden Holdings Ltd
MICT,MICT - Micronet Enertec Tec
MICTW,MICTW - Micronet Enertec Wrt
MIDD,MIDD - Middleby Corp
MIII,MIII - M III Acquisition Corp
MIIIU,MIIIU - M III Acquisition
MIIIW,MIIIW - M III Acquisition Corp. Wt
MIK,MIK - The Michaels Comp Cmn
MILN,MILN - Glbl X Mlnls Thm ETF
MIME,MIME - Mimecast Limited Ord
MIND,MIND - Mitcham Inds Inc
MINDP,MINDP - Mitcham Industries Inc
MINI,MINI - Mobile Mini Inc
MIRN,MIRN - Mirna Therap Cmn Stk
MITK,MITK - Mitek Systems Inc
MITL,MITL - Mitel Networks Corp
MKSI,MKSI - Mks Instruments Inc
MKTX,MKTX - Marketaxess Holdings
MLAB,MLAB - Mesa Labs Inc
MLCO,MLCO - Melco Resorts & Entertainment
MLHR,MLHR - Miller Herman Inc
MLNK,MLNK - Moduslink Global Cmn
MLNX,MLNX - Mellanox Technologie
MLVF,MLVF - Malvern Bncp Cmn Stk
MMAC,MMAC - Mma Capital Mngt Cmn
MMLP,MMLP - Martin Midstrm LP
MMSI,MMSI - Merit Medical Sys
MMYT,MMYT - Makemytrip Limited
MNDO,MNDO - Mind C.T.I. Ltd
MNGA,MNGA - Magnegas Corporation
MNKD,MNKD - Mannkind Corporation
MNOV,MNOV - Medicinova Inc
MNRO,MNRO - Monro Muffler Brak
MNST,MNST - Monster Beverage Cp
MNTA,MNTA - Momenta Pharma
MNTX,MNTX - Manitex Intl Inc
MOBL,MOBL - Mobileiron Inc Cmn
MOCO,MOCO - Mocon Inc
MOFG,MOFG - Midwestone Fnl Gp
MOGLC,MOGLC - Gabelli Nextshares Trust Gabelli Media Mogul Nex
MOMO,MOMO - Momo Inc Ads
MORN,MORN - Morningstar Inc
MOSY,MOSY - Mosys Inc
MOXC,MOXC - Moxian Inc
MPAA,MPAA - Motorcar Parts Amer
MPACU,MPACU - Matlin & Partners Acquisition Corporation Units
MPB,MPB - Mid Penn Bancorp Inc
MPCT,MPCT - Ishrs Su MSCI Glb Im
MPEL,MPEL - Melco Crown Entm Ads
MPVD,MPVD - Mountain Prv Dmds
MPWR,MPWR - Monolithic Power Sys
MRAM,MRAM - Everspin Technologies Inc
MRCC,MRCC - Monroe Capital Corpo
MRCY,MRCY - Mercury Sys Inc
MRDN,MRDN - Meridian Waste Solutions Inc
MRDNW,MRDNW - Meridian Waste Solutions Inc Warrants
MRLN,MRLN - Marlin Business Serv
MRNS,MRNS - Marinus Pharma CS
MRTN,MRTN - Marten Transport L
MRTX,MRTX - Mirati Therapeutics
MRUS,MRUS - Merus N.V. CS
MRVC,MRVC - Mrv Communictns Cmn
MRVL,MRVL - Marvell Tech Group
MSBF,MSBF - MSB Financial Cmn
MSBI,MSBI - Midland Sts BNC Cmn
MSCC,MSCC - Microsemi Corp
MSDI,MSDI - Monster Digital Inc
MSDIW,MSDIW - Monster Digital [Warrants]
MSEX,MSEX - Middlesex Water Co
MSFG,MSFG - Mainsource Finl Grp
MSFT,MSFT - Microsoft Corp
MSLI,MSLI - Merus Labs Intl Inc
MSON,MSON - Misonix Inc
MSTR,MSTR - Microstrategy Cl A
MTBC,MTBC - Medical Transc Bl Cmn
MTBCP,MTBCP - Mtbc 11% Sr A Prf ST
MTCH,MTCH - Match Group Inc CS
MTEX,MTEX - Mannatech Inc
MTFB,MTFB - Motif Bio Plc
MTFBW,MTFBW - Motif Bio Plc Warrants To Purchase Adrs
MTGE,MTGE - American Cap Mtg Inv
MTGEP,MTGEP - Amrcn Cap Mt Sr A PS
MTLS,MTLS - Materialise Nv Ads
MTP,MTP - Midatech Pharma Ads
MTRX,MTRX - Matrix Service Co
MTSC,MTSC - M T S Systems Cp
MTSI,MTSI - Macom Technology S
MTSL,MTSL - M E R Tlmgt Sol
MU,MU - Micron Technology
MVIS,MVIS - Microvision
MXIM,MXIM - Maxim Integrated
MXPT,MXPT - Maxpoint Intrctv Cmn
MXWL,MXWL - Maxwell Technologies
MYGN,MYGN - Myriad Genetics Inc
MYL,MYL - Mylan Nv Ord Shs
MYOK,MYOK - Myokardia Inc Cm ST
MYOS,MYOS - Myos Rens Tech Cmn
MYRG,MYRG - Myr Group Inc
MYSZ,MYSZ - My Size Inc Cmn
MZOR,MZOR - Mazor Robotics Ads
NAII,NAII - Natural Alternativ
NAKD,NAKD - Naked Brand Group CS
NAME,NAME - Rightside Group Cmn
NANO,NANO - Nanometrics Inc
NATH,NATH - Nathan's Famous In
NATI,NATI - Natl Instruments Cor
NATR,NATR - Nature S Sunshine
NAUH,NAUH - National American Un
NAVG,NAVG - Navigators Grp Inc
NAVI,NAVI - Navient Cp Cmn
NBEV,NBEV - New Age Beverages Corp
NBIX,NBIX - Neurocrine Bioscienc
NBN,NBN - Northeast Bncp
NBRV,NBRV - Nabriva Therape Ads
NBTB,NBTB - NBT Bancorp Inc
NCBS,NCBS - Nicolet Bnkshr Cmn
NCIT,NCIT - NCI Inc
NCLH,NCLH - Norwegian Cruise Ord
NCMI,NCMI - National Cinemedia
NCOM,NCOM - National Commerce Cmn
